,Restaurant Name,Cuisine Type,Location,Category,Food Name,Description/Ingredients,Price
0,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Meat Lover Pizza (Large),,"1,190.00"
1,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Meat Lover Pizza (Medium),,910.00
2,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Meat Lover Pizza (Small),,450.00
3,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Pepperoni Pizza (Large),,"1,050.00"
4,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Pepperoni Pizza (Medium),,700.00
5,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Pepperoni Pizza (Small),,490.00
6,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Heaven Pizza (Large),,"1,050.00"
7,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Heaven Pizza (Medium),,770.00
8,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Heaven Pizza (Small),,445.00
9,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",BBQ Chicken Pizza (Medium),,770.00
10,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",BBQ Chicken Pizza (Small),,445.00
11,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mushroom Pizza (Large),,910.00
