Price,Bedrooms,Bathrooms,SqFt,City,State,Year_Built,Type,Garage,Lot_Area
1646834,2,2,2298,Brisbane,QLD,1981,House,1,6382
1307668,2,1,1917,Perth,WA,1995,Apartment,0,5014
2065317,3,3,2388,Sydney,NSW,1995,Apartment,1,5601
2357110,3,2,2913,Melbourne,VIC,2001,House,2,6471
1609453,3,2,1859,Perth,WA,2022,House,1,3511
1456380,3,1,1859,Brisbane,QLD,1980,House,2,4103
2190981,3,2,2947,Melbourne,VIC,1994,House,1,7064
2137885,4,3,2460,Melbourne,VIC,2003,Townhouse,2,6320
1396768,3,2,1718,Adelaide,SA,1983,House,2,3006
1791039,2,4,2325,Brisbane,QLD,1997,House,1,6324
1515921,3,4,1721,Brisbane,QLD,1996,Apartment,1,3476
1406825,5,1,1720,Perth,WA,1986,House,1,3879
1838411,3,1,2145,Melbourne,VIC,1989,House,2,5173
854926,4,3,852,Adelaide,SA,1980,Apartment,0,1901
1104712,1,2,965,Melbourne,VIC,1981,Apartment,2,2275
1580765,3,1,1662,Melbourne,VIC,2001,House,0,2772
1501072,1,2,1392,Sydney,NSW,2011,Townhouse,0,2990
1862192,3,2,2188,Melbourne,VIC,2008,House,0,4203
1732733,5,3,1455,Melbourne,VIC,2014,Apartment,2,2370
1290959,5,1,1152,Brisbane,QLD,1996,House,1,2060
1855068,3,1,2879,Perth,WA,1991,House,0,6921
1606397,3,4,1864,Adelaide,SA,2003,House,2,3346
2177629,5,3,2040,Sydney,NSW,2009,House,2,3614
1334766,3,2,1145,Brisbane,QLD,2023,House,2,2667
1451110,2,3,1673,Brisbane,QLD,2009,Townhouse,1,4780
1850020,3,2,2066,Sydney,NSW,1999,Apartment,0,5544
1533487,3,3,1309,Melbourne,VIC,2021,Apartment,1,3741
1989687,3,2,2225,Melbourne,VIC,1986,House,2,5284
1773183,3,2,1639,Sydney,NSW,2021,Townhouse,1,3467
1916424,3,3,1824,Sydney,NSW,2017,Townhouse,1,4734
1442746,3,2,1638,Brisbane,QLD,1986,House,2,3101
2193662,2,4,3111,Brisbane,QLD,2009,House,1,5031
1590043,3,2,1991,Brisbane,QLD,1991,House,1,4017
1497738,4,4,1365,Brisbane,QLD,2010,House,1,2660
2120034,3,4,2493,Sydney,NSW,1997,Townhouse,0,6267
1677092,3,2,1267,Sydney,NSW,2022,House,1,2949
2177910,5,3,2125,Sydney,NSW,1981,House,2,3628
1413734,5,2,824,Melbourne,VIC,2012,Apartment,2,2359
1251476,3,4,1203,Adelaide,SA,1990,House,1,2875
1536417,1,2,2118,Brisbane,QLD,2013,House,0,4631
2198951,4,3,2443,Sydney,NSW,1995,House,0,7099
2099293,4,2,2102,Sydney,NSW,2014,House,2,3461
1719605,5,2,1930,Brisbane,QLD,2012,House,1,5182
1471726,4,1,1819,Brisbane,QLD,2000,Apartment,2,3724
1264197,3,2,1112,Brisbane,QLD,1999,House,2,2830
1730443,3,3,1568,Sydney,NSW,1987,House,1,4541
1569254,1,2,1723,Melbourne,VIC,2005,House,0,3923
2140089,3,2,2634,Melbourne,VIC,2012,House,1,4040
1556112,3,2,2206,Perth,WA,2005,Apartment,0,3404
1452647,3,2,942,Sydney,NSW,2016,House,0,1880
1893048,3,1,2194,Sydney,NSW,2009,Apartment,1,5864
1636599,4,3,1768,Brisbane,QLD,2010,House,1,3418
1826287,3,4,1593,Sydney,NSW,2012,Apartment,1,3190
1616234,3,2,2367,Brisbane,QLD,1990,Apartment,1,6335
2233053,2,1,2618,Sydney,NSW,2020,House,1,4384
1997660,3,1,2558,Sydney,NSW,1984,Townhouse,0,7088
1349530,4,2,1496,Perth,WA,1981,House,2,2841
1705481,3,2,1814,Melbourne,VIC,1992,Townhouse,2,2861
2187112,5,3,2198,Sydney,NSW,1997,House,1,3685
2253175,3,2,2585,Sydney,NSW,2005,House,1,7571
1472156,3,3,1712,Perth,WA,2004,House,1,3728
1468441,3,2,1888,Brisbane,QLD,2023,Apartment,0,3559
1120634,3,2,1336,Adelaide,SA,1993,Apartment,1,3049
1314823,4,2,1282,Perth,WA,1984,House,2,3235
1766399,3,1,2487,Brisbane,QLD,2021,Apartment,0,4920
2109239,4,2,2813,Melbourne,VIC,1981,Townhouse,1,7281
1467151,3,3,1956,Perth,WA,1983,Apartment,2,3675
2190059,4,2,2602,Melbourne,VIC,1991,House,1,4341
1636274,2,3,2216,Perth,WA,1990,House,1,5153
1482453,4,2,1612,Brisbane,QLD,1983,House,2,2785
1764748,3,1,2216,Brisbane,QLD,2022,House,1,6452
2147744,3,2,2922,Melbourne,VIC,1988,House,1,4386
1638675,3,2,1978,Brisbane,QLD,1989,House,2,5210
2351495,5,2,2938,Melbourne,VIC,2006,Townhouse,2,5640
999936,1,1,800,Melbourne,VIC,1985,Apartment,2,2215
1752774,3,2,2493,Adelaide,SA,1994,Townhouse,2,3964
1879378,4,1,2052,Melbourne,VIC,2021,Townhouse,1,6012
1735435,3,1,1820,Sydney,NSW,2010,Apartment,2,3007
1639319,2,2,2055,Brisbane,QLD,2001,House,2,5511
991866,3,2,807,Brisbane,QLD,1985,Apartment,2,1837
1688824,3,4,1868,Perth,WA,2012,House,2,4008
1801612,5,2,2214,Brisbane,QLD,2008,House,0,4251
2485835,4,3,2886,Sydney,NSW,2000,House,2,7973
1798091,3,2,1689,Sydney,NSW,2009,House,0,3039
1795318,5,3,1514,Sydney,NSW,2000,Apartment,1,3911
1718140,3,2,1698,Sydney,NSW,2015,Townhouse,0,3684
1955425,2,4,2549,Brisbane,QLD,2001,House,2,7641
1849519,3,2,2197,Melbourne,VIC,1999,House,1,5310
1827915,3,3,1682,Melbourne,VIC,2001,House,2,2786
1647533,2,2,2307,Brisbane,QLD,2019,Apartment,1,4914
1840605,5,1,2058,Melbourne,VIC,1990,House,0,3292
2182098,4,2,2581,Sydney,NSW,2010,Townhouse,1,4977
1673273,3,1,1578,Melbourne,VIC,2019,House,1,3181
1828373,3,2,1803,Sydney,NSW,1992,Townhouse,2,5013
1668039,4,1,1764,Melbourne,VIC,1997,House,0,4865
1323716,5,2,1121,Brisbane,QLD,2001,House,1,1702
1758566,4,4,2177,Adelaide,SA,1996,House,1,5005
2001604,3,2,2156,Sydney,NSW,2017,House,0,3958
1975710,4,3,2003,Melbourne,VIC,2004,House,1,3966
1535722,3,2,1859,Brisbane,QLD,2011,Townhouse,1,2849
1423774,3,2,1150,Melbourne,VIC,1994,House,1,3020
1752539,2,4,1747,Melbourne,VIC,1992,House,1,5113
1795187,2,3,1794,Sydney,NSW,2005,House,1,3281
1464047,3,3,1518,Brisbane,QLD,1990,House,2,3056
1558218,3,2,1903,Perth,WA,1992,House,2,3444
1482260,1,2,2242,Adelaide,SA,2012,Townhouse,1,6492
2205691,4,2,3131,Perth,WA,2016,House,1,4741
1914784,1,2,2104,Sydney,NSW,2017,House,1,5000
1625911,3,2,2154,Brisbane,QLD,1980,House,0,6045
1805669,3,3,1955,Melbourne,VIC,2018,Apartment,1,3479
1138950,5,3,848,Adelaide,SA,2006,House,1,2024
1421413,3,2,1984,Adelaide,SA,2015,Apartment,1,3126
1523169,2,1,2036,Adelaide,SA,2011,House,2,5542
2400518,3,3,3477,Perth,WA,2020,House,2,6648
1723286,4,1,1884,Melbourne,VIC,1994,House,0,5621
1856818,5,2,2180,Brisbane,QLD,2010,House,1,6287
1366186,3,1,1979,Adelaide,SA,1985,House,0,5143
1507119,3,2,1298,Melbourne,VIC,2004,House,1,2916
2043150,5,4,2685,Perth,WA,1997,House,0,7116
1557644,2,1,2451,Adelaide,SA,2001,Apartment,2,4156
2117239,3,2,2474,Melbourne,VIC,2010,House,2,4863
1687167,3,2,1454,Sydney,NSW,2015,House,0,2240
2282929,1,4,2841,Sydney,NSW,1988,House,2,7011
1568371,3,3,1158,Sydney,NSW,1982,House,1,3138
2050523,3,2,2352,Melbourne,VIC,2012,House,1,6866
2429584,3,1,3314,Melbourne,VIC,2006,House,1,8384
1542899,5,2,1405,Brisbane,QLD,2022,House,1,3652
1641484,3,2,1660,Melbourne,VIC,1980,House,2,4720
